Address,Price (€),Size (m²),Construction Year,City,Neighborhood,Postal Code,Latitude,Longitude,Condition,Bedrooms,Description,URL,Hoitovastike,Pääomavastike,Erityisvastike,Yhtiövastike yhteensä,icon,last_updated
2025,Espoo,Laaksolahti,2710,60.236416,24.747348,Uusi,5.000000,10.000000,https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22747254,,,,,home,2025-02-13 11:37:31,,house-user,2025-02-13 11:50:58
2019,Vantaa,"Tikkurila, Hiekkaharju",1300,60.299849621089,25.045568574461,Hyvä,5.000000,37.000000,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22294609,90 € / kk,,,90 € / kk,home,2025-02-13 11:37:31,,house-user,2025-02-13 11:50:58
"Sotarovastintie 4, 00370, Espoo",650000,175.5,1972,Espoo,"51 / Mäkkylä, Mäkkylä, Länsi-Helsinki",00370,60.225324,24.836751,Tyydyttävä,6,"Katso 14 kuvaa tästä 650000 €, 1.kerroksessa 3-4 mh, oh, k, rh, et, kph/wc, erill.wc. Pohjakerroksessa mh, takkah, uima-allas tila, s, pesuh, wc, pukuh, kodinhoitoh, kattilah, varastotiloja., 175.5 m² Asunnot vuodelta 1972",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22208881,,,,,house-user,2025-02-13 11:50:58
"Saunaniemenkuja 3, 02580, Siuntio",799000,221.5,2005,Siuntio,Störsvik,02580,60.071037,24.297558,Hyvä,5,"Katso 30 kuvaa tästä 799000 €, 4h + k + rt + 2x kph + 3x wc + aula + th + khh + viinikellari + tekn + var + piha, 221.5 m² Asunnot Omakotitalo vuodelta 2005. Jykevä talokaunotar meren ja Pickalan golfkenttien äärellä 221,5/321m2",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/21618487,,,,,house-user,2025-02-13 11:50:58
"Mäntykalliontie 7, 02580, Siuntio",616000,197.1,2005,Siuntio,"Pickala, Störsvik",02580,60.080351,24.288194,Hyvä,6,"Katso 32 kuvaa tästä 616000 €, 6h,k,tkh,khh, kph, s, 197.1 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/22379096,,,,,house-user,2025-02-13 11:50:58
"Saunaniemenkuja 3, 02580, Siuntio",799000,221.5,2005,Siuntio,Störsvik,02580,60.071037,24.297558,Hyvä,5,"Katso 30 kuvaa tästä 799000 €, 4h + k + rt + 2x kph + 3x wc + aula + th + khh + viinikellari + tekn + var + piha, 221.5 m² Asunnot Omakotitalo vuodelta 2005. Jykevä talokaunotar meren ja Pickalan golfkenttien äärellä 221,5/321m2",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/21618487,,,,,house-user,2025-02-13 11:50:58
"Sotarovastintie 4, 00370, Espoo",650000,175.5,1972,Espoo,"51 / Mäkkylä, Mäkkylä, Länsi-Helsinki",00370,60.225324,24.836751,Tyydyttävä,6,"Katso 14 kuvaa tästä 650000 €, 1.kerroksessa 3-4 mh, oh, k, rh, et, kph/wc, erill.wc. Pohjakerroksessa mh, takkah, uima-allas tila, s, pesuh, wc, pukuh, kodinhoitoh, kattilah, varastotiloja., 175.5 m² Asunnot vuodelta 1972",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22208881,,,,,house-user,2025-02-13 11:50:58
"Mäntykalliontie 7, 02580, Siuntio",616000,197.1,2005,Siuntio,"Pickala, Störsvik",02580,60.080351,24.288194,Hyvä,6,"Katso 32 kuvaa tästä 616000 €, 6h,k,tkh,khh, kph, s, 197.1 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/22379096,,,,,house-user,2025-02-13 11:50:58
"Saunaniemenkuja 3, 02580, Siuntio",799000,221.5,2005,Siuntio,Störsvik,02580,60.071037,24.297558,Hyvä,5,"Katso 30 kuvaa tästä 799000 €, 4h + k + rt + 2x kph + 3x wc + aula + th + khh + viinikellari + tekn + var + piha, 221.5 m² Asunnot Omakotitalo vuodelta 2005. Jykevä talokaunotar meren ja Pickalan golfkenttien äärellä 221,5/321m2",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/21618487,,,,,house-user,2025-02-13 11:50:58
"Mäntykalliontie 7, 02580, Siuntio",616000,197.1,2005,Siuntio,"Pickala, Störsvik",02580,60.080351,24.288194,Hyvä,6,"Katso 32 kuvaa tästä 616000 €, 6h,k,tkh,khh, kph, s, 197.1 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/22379096,,,,,house-user,2025-02-13 11:50:58
